line,priority,category,current,action,target
3405,high,activity_heading,#### Comparative Peer Review (F2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3416,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3431,high,activity_heading,#### Editing Workshop — Paragraph-Level (G2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3450,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3455,high,activity_heading,#### Real-World Task (H2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3462,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3465,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3483,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3486,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3514,high,activity_heading,#### Prediction Task (A4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3518,medium,bold_structural_label,**Scenario:**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
3527,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
