line,priority,change_type,target_class,current_text,action,target_pattern,notes
2390,medium,convert_or_review_blockquote_group,semantic-div,"> *""Please note that the procedure for reviewing applicant submissions has been updated, effective 1 November. The revised process now requires sign-off from one reviewing officer at the initial stage, replacing the previous requirement for dual sign-off. This change has been introduced to reduce processing time and to reflect updated guidelines on internal accountability. We would appreciate it if all staff could begin applying the revised procedure from the effective date and discontinue use of the previous sign-off form. An updated version of the form is attached to this notice. Should any questions arise regarding the transition, please do not hesitate to contact our office.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
2399,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The improved notice balances three jobs at once: it states the change clearly, explains why the change has been introduced, and reassures the reader that support is available. That combination helps readers understand the change and act on it without unnecessary uncertainty.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
2401,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Annotated Model (B4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Annotated Model — Activity Focus (B4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2405,medium,normalize_bold_structural_label,semantic-label,**Annotations:**,Convert bold structural label to compact label style or Div if block-level,**Annotations:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
2413,medium,convert_blockquote_to_learn_div,learn-note,"**Additional note:** Reassurance in a change notice should reduce uncertainty without becoming vague. In this model, the final sentence works because it offers support after the change and required action have already been stated clearly.",Convert general note to semantic Learn Div,"::: learn-note
**Learn — Additional Note:** ...
:::",General explanatory annotation.
2419,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Sentence Rewriting (C3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Sentence Rewriting — Activity Focus (C3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2431,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Expansion Task (C7),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Expansion Task — Activity Focus (C7),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2440,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
2452,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Model Rewriting (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Model Rewriting — Improve Tone and Cohesion (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2465,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
2466,high,normalize_placeholder_line,placeholder,{{PH-2: U09-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U09-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
2470,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** Do not treat the template as five isolated boxes. Use it to preserve the logic of effective change communication: state the change, explain why it matters, guide the reader’s action, and reduce uncertainty through support.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
2501,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
2502,high,normalize_placeholder_line,placeholder,{{PH-3: U09-D3-guided-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U09-D3-guided-draft}}
:::",Preserve the placeholder token exactly.
2506,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Scenario-Based Free Write (E1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Scenario-Based Free Write — Realistic Administrative Response (E1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2527,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
2528,high,normalize_placeholder_line,placeholder,{{PH-4: U09-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U09-E1-freer-write}}
:::",Preserve the placeholder token exactly.
2532,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Guided Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Guided Peer Review — Structured Feedback Exchange (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2541,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2560,medium,convert_or_review_blockquote_group,semantic-div,"> *""We changed the system. Please use the new rules from now on. The old form doesn't work anymore so stop using it. We decided this was better because of various reasons. If you're confused, ask someone. The new form is somewhere on the shared drive.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
2578,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
2579,high,normalize_placeholder_line,placeholder,{{PH-3: U09-G2-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U09-G2-editing-rewrite}}
:::",Preserve the placeholder token exactly.
2583,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2601,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
2602,high,normalize_placeholder_line,placeholder,{{PH-4: U09-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U09-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
2604,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2630,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Problem Identification (A2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Problem Identification — Activity Focus (A2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
2634,medium,convert_or_review_blockquote_group,semantic-div,"> *""The review is delayed because many things are unclear and we need more information. It is difficult to continue in this situation and we hope to have more clarity soon.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
2647,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
